City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Leningradskiy,RU,69.38,178.42,-14.13,98,100,1.54,overcast clouds
190,Isangel,VU,-19.55,169.27,80.71,78,75,0.0,broken clouds
191,Jacobabad,PK,28.28,68.44,54.09,14,0,0.36,clear sky
192,Cherskiy,RU,68.75,161.30,-21.24,98,100,6.06,overcast clouds
193,Vinh,VN,18.67,105.67,66.97,75,98,9.19,overcast clouds
194,Kieta,PG,-6.22,155.63,82.47,81,85,7.4,light rain
195,Peniche,PT,39.36,-9.38,58.62,74,6,11.12,clear sky
196,Conceicao Do Araguaia,BR,-8.26,-49.26,79.02,89,100,4.97,overcast clouds
197,Raga,SS,8.46,25.68,74.44,24,100,4.61,overcast clouds
198,Hofn,IS,64.25,-15.21,41.58,93,100,5.12,overcast clouds
199,Puerto Madryn,AR,-42.77,-65.04,84.49,46,100,22.7,overcast clouds
200,Constitucion,CL,-35.33,-72.42,63.72,58,0,14.99,clear sky
201,Geraldton,AU,-28.77,114.60,52.21,87,40,1.14,scattered clouds
202,Cramlington,GB,55.09,-1.59,37.71,97,40,2.3,fog
203,Itarema,BR,-2.92,-39.92,81.1,78,2,16.58,clear sky
204,Saga,JP,33.25,130.30,37.35,52,20,9.22,few clouds
205,Okha,RU,53.57,142.95,-2.25,93,94,12.1,overcast clouds
206,Clarence Town,AU,-32.58,151.78,74.34,77,98,2.35,overcast clouds
207,Bo Phloi,TH,14.32,99.52,81.32,62,100,10.54,overcast clouds
208,Adrar,MR,20.50,-10.07,69.55,47,95,4.65,overcast clouds
209,Avarua,CK,-21.21,-159.78,77.05,94,90,10.36,light rain
210,Kenai,US,60.55,-151.26,17.69,93,90,0.0,overcast clouds
211,Hernani,ES,43.27,-1.98,46.85,83,0,1.01,clear sky
212,Mayo,US,38.89,-76.51,61.14,40,1,1.99,clear sky
213,Ponta Delgada,PT,37.73,-25.67,58.5,67,20,5.75,few clouds
214,Saint George,US,37.10,-113.58,49.62,46,1,3.0,clear sky
215,Katete,UG,-0.78,29.75,62.76,86,100,4.12,overcast clouds
216,Banjar,ID,-8.19,114.97,78.66,88,94,2.73,overcast clouds
217,Khatanga,RU,71.97,102.50,-39.91,100,94,4.83,overcast clouds
218,Oyem,GA,1.60,11.58,68.59,76,54,3.36,broken clouds
219,Port Elizabeth,ZA,-33.92,25.57,64.69,63,75,17.27,broken clouds
220,Norrtalje,SE,59.76,18.70,38.23,87,100,7.63,overcast clouds
221,Flin Flon,CA,54.77,-101.86,-5.96,71,90,6.91,light snow
222,Cabo San Lucas,MX,22.89,-109.91,78.1,75,75,1.01,broken clouds
223,Talaya,RU,61.38,152.75,-25.29,97,100,0.96,overcast clouds
224,Kalabo,ZM,-14.97,22.68,68.95,78,100,4.76,overcast clouds
225,Vostok,RU,46.49,135.88,-19.82,98,100,4.27,overcast clouds
226,Buchanan,LR,5.88,-10.05,78.76,84,46,9.22,scattered clouds
227,Nome,US,64.50,-165.41,26.67,86,90,19.57,mist
228,Avera,US,33.19,-82.53,69.71,70,100,6.17,overcast clouds
229,Oussouye,SN,12.48,-16.55,77.18,74,76,9.57,broken clouds
230,Mjolby,SE,58.33,15.12,39.81,78,87,7.52,overcast clouds
231,Saint-Francois,FR,46.42,3.91,36.68,93,0,5.75,clear sky
232,Ostersund,SE,63.18,14.64,43.61,93,90,12.66,overcast clouds
233,Haines Junction,CA,60.75,-137.51,-4.05,77,100,2.3,overcast clouds
234,Synya,RU,65.37,58.04,8.11,97,100,2.44,overcast clouds
235,Maarianhamina,AX,60.10,19.93,37.26,93,20,3.44,few clouds
236,Shenjiamen,CN,29.96,122.30,42.21,66,65,15.86,broken clouds
237,Yuci,CN,37.68,112.73,13.75,62,0,4.47,clear sky
238,Kalmunai,LK,7.42,81.82,75.99,89,100,8.66,overcast clouds
239,Galesong,ID,-5.32,119.37,78.82,84,100,2.24,overcast clouds
240,Dondo,MZ,-19.61,34.74,73.45,92,100,7.9,overcast clouds
241,Oga,IT,46.46,10.35,34.48,53,0,5.93,clear sky
242,Grindavik,IS,63.84,-22.43,39.67,100,90,6.91,overcast clouds
243,Gat,IL,31.61,34.76,54.39,100,22,8.43,few clouds
244,Fortuna,US,40.60,-124.16,54.93,69,1,1.01,clear sky
245,Husavik,IS,66.04,-17.34,40.91,90,100,8.32,moderate rain
246,Otavi,NA,-19.65,17.33,72.61,57,32,5.93,scattered clouds
247,Rumonge,BI,-3.97,29.44,71.24,85,100,1.23,overcast clouds
248,Klaksvik,FO,62.23,-6.59,47.32,82,56,15.55,broken clouds
249,Umm Kaddadah,SD,13.60,26.69,64.08,28,94,14.76,overcast clouds
250,Methoni,GR,36.82,21.70,47.21,69,33,10.63,scattered clouds
251,Vanimo,PG,-2.67,141.30,75.7,91,100,5.77,overcast clouds
252,Provideniya,RU,64.38,-173.30,6.3,94,100,17.56,light snow
253,Emba,KZ,48.83,58.14,23.49,87,78,4.7,broken clouds
254,Filingue,NE,14.35,3.32,74.79,15,75,10.67,broken clouds
255,Mumford,GH,5.26,-0.76,80.98,84,92,8.34,overcast clouds
256,Ariquemes,BR,-9.91,-63.04,76.32,97,100,2.93,light rain
257,Bathsheba,BB,13.22,-59.52,81.21,69,40,23.02,scattered clouds
258,Saint-Philippe,RE,-21.36,55.77,73.22,74,19,3.13,few clouds
259,New Norfolk,AU,-42.78,147.06,70.75,48,100,3.42,moderate rain
260,Pisco,PE,-13.70,-76.22,73.45,68,0,17.27,clear sky
261,Fort Nelson,CA,58.81,-122.70,-18.81,76,40,3.44,scattered clouds
262,Saint-Junien,FR,45.88,0.90,46.85,76,0,3.58,clear sky
263,Poya,NC,-21.35,165.15,76.8,69,3,6.06,clear sky
264,Taltal,CL,-25.40,-70.48,68.56,71,92,8.28,overcast clouds
265,Sao Filipe,CV,14.90,-24.50,74.55,75,63,5.88,broken clouds
266,Mokhsogollokh,RU,61.47,128.92,-23.51,97,100,2.64,overcast clouds
267,Vila Franca Do Campo,PT,37.72,-25.43,58.19,71,100,3.49,overcast clouds
268,Taitung,TW,22.76,121.14,61.81,82,100,20.65,overcast clouds
269,Aktash,RU,50.30,87.73,8.58,90,100,6.24,overcast clouds
270,Arrecife,ES,28.96,-13.55,66.18,63,0,13.8,clear sky
271,Chokurdakh,RU,70.63,147.92,-34.71,100,70,6.49,broken clouds
272,Jutai,BR,-5.18,-68.90,80.01,78,100,2.04,overcast clouds
273,Aldan,RU,58.60,125.39,-6.29,98,100,4.65,overcast clouds
274,Banda Aceh,ID,5.56,95.32,78.26,85,100,4.5,overcast clouds
275,Qasigiannguit,GL,68.82,-51.19,16.05,78,100,4.14,overcast clouds
276,Tasiilaq,GL,65.61,-37.64,28.56,83,23,5.84,few clouds
277,Kakching,IN,24.48,93.98,48.13,94,9,0.4,clear sky
278,Tabas,IR,33.60,56.92,50.25,16,67,3.83,broken clouds
279,Atikokan,CA,48.76,-91.62,11.71,80,100,1.41,overcast clouds
280,Pangnirtung,CA,66.15,-65.71,23.0,80,90,26.46,light snow
281,Bengkulu,ID,-3.80,102.27,74.48,93,100,4.14,overcast clouds
282,Asfi,MA,32.30,-9.24,60.51,71,0,13.18,clear sky
