City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Filingue,NE,74.79,broken clouds,14.35,3.32,
255,Mumford,GH,80.98,overcast clouds,5.26,-0.76,Spanish Villa
256,Ariquemes,BR,76.32,light rain,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
257,Bathsheba,BB,81.21,scattered clouds,13.22,-59.52,Atlantis Hotel
258,Saint-Philippe,RE,73.22,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
259,New Norfolk,AU,70.75,moderate rain,-42.78,147.06,The Shingles Riverside Cottages
260,Pisco,PE,73.45,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
263,Poya,NC,76.8,clear sky,-21.35,165.15,
264,Taltal,CL,68.56,overcast clouds,-25.4,-70.48,Residencial Karime
265,Sao Filipe,CV,74.55,broken clouds,14.9,-24.5,Hotel Xaguate
268,Taitung,TW,61.81,overcast clouds,22.76,121.14,Taitung Bali Suites Hotel
270,Arrecife,ES,66.18,clear sky,28.96,-13.55,Hotel Lancelot
272,Jutai,BR,80.01,overcast clouds,-5.18,-68.9,
274,Banda Aceh,ID,78.26,overcast clouds,5.56,95.32,Sulthan Hotel International
281,Bengkulu,ID,74.48,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
282,Asfi,MA,60.51,clear sky,32.3,-9.24,Hôtel Abda
284,Sinazongwe,ZM,74.32,overcast clouds,-17.26,27.46,Lakeview Lodge
286,Cidreira,BR,71.51,scattered clouds,-30.18,-50.21,Hotel Castelo
287,Ciudad Valles,MX,84.02,clear sky,21.98,-99.02,Hotel Mision Ciudad Valles
291,Ponta Do Sol,PT,65.03,broken clouds,32.67,-17.1,Hotel do Campo
292,Mount Gambier,AU,62.51,overcast clouds,-37.83,140.77,The Commodore
294,Anloga,GH,82.62,broken clouds,5.79,0.9,Pin Drop Hotel
297,Andros Town,BS,78.76,scattered clouds,24.7,-77.77,Hanks place
298,Aloleng,PH,80.67,overcast clouds,16.13,119.78,Steve Walden and Emma Sison-Walden Residence
301,Malindi,KE,79.21,light rain,-3.22,40.12,African House Resort
303,Trairi,BR,81.27,clear sky,-3.28,-39.27,janelas do mar
307,Gushikawa,JP,60.03,overcast clouds,26.35,127.87,Kirari Guest House
308,Puerto Del Rosario,ES,65.88,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
310,Nova Iguacu,BR,79.66,light rain,-22.76,-43.45,Mercure Rio De Janeiro Nova Iguacu
311,Oudtshoorn,ZA,61.7,clear sky,-33.59,22.2,Earthbound Guest House
312,Nouadhibou,MR,66.18,clear sky,20.93,-17.03,El Medina
313,Saint-Pierre,RE,73.29,light rain,-21.34,55.48,Lindsey Hôtel
314,Salalah,OM,73.49,scattered clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
315,Cayenne,GF,84.24,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
316,Port-Gentil,GA,80.56,scattered clouds,-0.72,8.78,Fengshui Residence
317,Ippy,CF,79.03,broken clouds,6.27,21.22,
318,Kui Buri,TH,78.71,overcast clouds,12.08,99.85,Rista House & Resort
319,Sargur,IN,63.54,clear sky,11.98,76.42,Jungle Trailz Kabini
323,Luderitz,,62.64,few clouds,-26.65,15.16,LÜDERITZ NEST HOTEL
326,Valparaiso,CL,76.64,clear sky,-33.04,-71.63,Hotel Ultramar
331,Panguna,PG,75.16,overcast clouds,-6.32,155.48,
332,Moyo,UG,79.07,overcast clouds,3.66,31.72,"Multi Purpose Training Center, Moyo"
334,Pyu,MM,62.46,clear sky,18.48,96.43,Phyu Post Office
335,Santa Isabel Do Rio Negro,BR,80.74,moderate rain,-0.41,-65.02,Hotel GSA
337,Kavieng,PG,81.12,moderate rain,-2.57,150.8,Nusa Island Retreat
339,Paraopeba,BR,71.15,light rain,-19.28,-44.4,HC Hotel Paraopeba
340,Talcahuano,CL,67.68,clear sky,-36.72,-73.12,departamento comodo
343,Kigoma,TZ,71.96,overcast clouds,-4.88,29.63,MJI Mwema Lodge
346,Camacha,PT,62.02,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
349,Emerald,AU,76.33,clear sky,-23.53,148.17,The Irish Village
351,Grand Gaube,MU,77.4,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
357,Payo,ID,72.5,overcast clouds,-3.75,103.64,Mess keban agung
358,Sao Sebastiao,BR,76.42,broken clouds,-23.76,-45.41,Hotel Recanto dos Pássaros
364,Harindanga,IN,60.78,scattered clouds,22.04,88.32,Hasanur Builders
367,Samana,DO,82.62,few clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
368,Richards Bay,ZA,65.03,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
369,Beloha,MG,73.24,broken clouds,-25.17,45.05,
371,Cuichapa,MX,78.98,few clouds,18.77,-96.87,El Otate Amatlán
372,Pitimbu,BR,82.99,few clouds,-7.47,-34.81,Reserva do Abiaí
376,Yulara,AU,78.64,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
377,Benguela,AO,74.88,few clouds,-12.58,13.41,Hotel Praia Morena
378,Fare,PF,81.45,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
380,Bahia De Caraquez,EC,77.18,overcast clouds,-0.6,-80.42,Hotel Bahia B&B
382,Sechura,PE,78.49,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
384,Bodden Town,KY,84.99,few clouds,19.28,-81.25,Will T Place
386,Buba,GW,78.57,broken clouds,11.58,-15.0,Pousada Bela Vista
387,Barinitas,VE,81.88,overcast clouds,8.76,-70.41,Rapsodia EcoTours
388,Pimenta Bueno,BR,76.32,light rain,-11.67,-61.19,Cristalina Palace Hotel
391,Carauari,BR,77.27,moderate rain,-4.88,-66.9,Pousada Lobo
395,Bidor,MY,76.98,heavy intensity rain,4.11,101.29,Hotel Bidor mk
